id,unique_genes
0,AARS2
1,AATF
2,ABCB7
3,ACTL6A
4,ACTR10
5,ADAT2
6,AFG3L2
7,ANKZF1
8,ARGLU1
9,ARIH1
10,ARL2
11,ASCC3
12,ATP1A1
13,ATP6V1G1
14,AURKA
15,BDP1
16,BNIP1
17,BOD1L1
18,BTF3
19,BUB3
20,CACTIN
21,CAMLG
22,CAPZB
23,CARS2
24,CCDC84
25,CCNK
26,CCT8
27,CDC16
28,CDC23
29,CDC26
30,CDC27
31,CDC40
32,CDK1
33,CDK12
34,CENPK
35,CENPM
36,CENPP
37,CENPW
38,CEP152
39,CEP192
40,CHMP2A
41,CMAS
42,CNOT1
43,COA3
44,COPA
45,COPE
46,COPS4
47,COQ2
48,COX16
49,COX5A
50,COX7C
51,CSTF3
52,CTNNBL1
53,CWC22
54,DAP3
55,DCTN4
56,DDX18
57,DDX46
58,DHODH
59,DHX37
60,DICER1
61,DLST
62,DUT
63,DYNC1H1
64,EBNA1BP2
65,EEF1G
66,EFR3A
67,EIF2B2
68,EIF2B5
69,EIF3H
70,EIF3M
71,EIF4A1
72,EIF4G1
73,EIF4G2
74,EIF5B
75,EIF6
76,ELP4
77,EMC1
78,EMC2
79,EMC4
80,EMC7
81,EXOSC2
82,EXOSC4
83,EXOSC6
84,FAM50A
85,FAM98B
86,FARSA
87,FBXO28
88,FDPS
89,FH
90,FIP1L1
91,GEMIN2
92,GEMIN4
93,GFER
94,GNL2
95,GNL3L
96,GNPAT
97,GPN3
98,GTF2H4
99,GTF3C3
100,GTPBP4
101,HCCS
102,HSCB
103,HUS1
104,HYPK
105,IMPDH2
106,INTS3
107,INTS5
108,KCTD10
109,KDM1A
110,LARS2
111,LEO1
112,LIAS
113,LONP1
114,MAPKAP1
115,MARS2
116,MASTL
117,MAX
118,MBTPS2
119,MCM3
120,MCM3AP
121,MCM4
122,MED1
123,MED10
124,MED14
125,MED17
126,MED22
127,MED23
128,MED24
129,MED28
130,MED9
131,METAP2
132,METTL17
133,MFAP1
134,MPHOSPH6
135,MRPL10
136,MRPL11
137,MRPL13
138,MRPL15
139,MRPL16
140,MRPL18
141,MRPL19
142,MRPL22
143,MRPL24
144,MRPL27
145,MRPL3
146,MRPL32
147,MRPL33
148,MRPL35
149,MRPL36
150,MRPL37
151,MRPL39
152,MRPL42
153,MRPL43
154,MRPL46
155,MRPS10
156,MRPS11
157,MRPS14
158,MRPS16
159,MRPS18A
160,MRPS18B
161,MRPS21
162,MRPS23
163,MRPS25
164,MRPS27
165,MRPS30
166,MRPS35
167,MRPS5
168,MRPS9
169,MTBP
170,MTHFD2
171,MTOR
172,MTPAP
173,MZT1
174,NAA25
175,NACA
176,NAMPT
177,NAT10
178,NCAPD2
179,NCBP1
180,NDUFA2
181,NDUFA8
182,NDUFA9
183,NDUFB1
184,NDUFB2
185,NDUFB4
186,NEMF
187,NFE2L1
188,NFYC
189,NIP7
190,NOC2L
191,NOL10
192,NOL9
193,NOLC1
194,NOP58
195,NSMCE1
196,NUBP1
197,NUDC
198,NUP43
199,NUP54
200,NUP85
201,OGFOD1
202,OPA1
203,PAXBP1
204,PDCD7
205,PDRG1
206,PDSS2
207,PFAS
208,PGD
209,PGK1
210,PITRM1
211,PMF1
212,PNISR
213,PNN
214,POLA1
215,POLD1
216,POLD3
217,POLE
218,POLE2
219,POLN
220,POLR2B
221,POLR2K
222,POLR3A
223,POLR3B
224,PPAT
225,PPCS
226,PPIE
227,PPP2R1A
228,PPP2R2A
229,PPWD1
230,PRMT5
231,PSMB6
232,PSMB7
233,PSMC1
234,PSMC2
235,PSMD12
236,PSMD4
237,PSMD6
238,PSPH
239,PTCD1
240,PTCD3
241,PTTG1
242,PWP1
243,RAD51
244,RAE1
245,RBBP8
246,RBFA
247,RBM17
248,RBM25
249,REXO2
250,RFC4
251,RFC5
252,RINT1
253,RNF20
254,RNGTT
255,ROMO1
256,RPA3
257,RPF2
258,RPL10
259,RPL11
260,RPL23
261,RPL24
262,RPL27
263,RPL28
264,RPL3
265,RPL30
266,RPL32
267,RPL35
268,RPL36A
269,RPL5
270,RPLP1
271,RPLP2
272,RPP30
273,RPP38
274,RPS18
275,RPS27A
276,RPS28
277,RPTOR
278,RRM1
279,RTF1
280,SAP18
281,SCO1
282,SDHC
283,SEH1L
284,SF3B1
285,SFXN1
286,SKA3
287,SKIV2L
288,SLC7A1
289,SLC7A6OS
290,SMC5
291,SMNDC1
292,SNAPC1
293,SNIP1
294,SNRNP200
295,SNRNP70
296,SNRPB
297,SNRPC
298,SNRPD3
299,SNRPG
300,SPAG7
301,SPDL1
302,SRFBP1
303,SRSF7
304,SSB
305,SSBP1
306,STXBP4
307,SYVN1
308,TAF1
309,TAF1A
310,TAF2
311,TBC1D31
312,TBCB
313,TCF25
314,TCOF1
315,TFB1M
316,TGIF2
317,TIMM22
318,TIMM9
319,TIPIN
320,TOMM22
321,TRA2B
322,TRMT5
323,TRNAU1AP
324,TRPM7
325,TRRAP
326,TSEN2
327,TTC4
328,TUBB
329,TUBGCP3
330,TUBGCP5
331,UBA2
332,UBA3
333,UMPS
334,UQCRB
335,USE1
336,VPS29
337,WARS2
338,WDR36
339,WDR61
340,WDR7
341,WDR77
342,XPO1
343,XRN2
344,YTHDC1
345,ZCCHC9
346,ZMAT2
347,ZMAT5
348,ZNF511
349,ZNF830
350,ZNHIT6
351,ZNRD1
