id,unique_genes
0,ZNF511
1,EEF1G
2,WARS2
3,RPLP1
4,WDR7
5,WDR77
6,TUBGCP3
7,RINT1
8,REXO2
9,EFR3A
10,GNL3L
11,MPHOSPH6
12,INTS3
13,RPL27
14,TBCB
15,TUBGCP5
16,XPO1
17,MTPAP
18,PDSS2
19,NSMCE1
20,IMPDH2
21,SNIP1
22,CDC16
23,PWP1
24,TIMM22
25,SEH1L
26,FH
27,NFE2L1
28,MRPL35
29,FIP1L1
30,EIF3H
31,DDX46
32,NUP43
33,MED9
34,TUBB
35,KCTD10
36,SMC5
37,MAX
38,CCNK
39,EMC2
40,CSTF3
41,PPP2R1A
42,TRA2B
43,ZMAT2
44,TIMM9
45,NUDC
46,MED23
47,NCBP1
48,PSMD12
49,BOD1L1
50,MRPS23
51,RPL3
52,PNN
53,MRPL42
54,ROMO1
55,ZCCHC9
56,MRPL22
57,GEMIN4
58,TBC1D31
59,RNGTT
60,MRPS18A
61,PGD
62,TCF25
63,USE1
64,TFB1M
65,PDRG1
66,NDUFA9
67,EMC7
68,ARGLU1
69,PPAT
70,RPL23
71,NEMF
72,NOC2L
73,COPE
74,LARS2
75,POLE
76,ELP4
77,EMC1
78,PMF1
79,MRPS27
80,HUS1
81,RPL36A
82,MCM3AP
83,PPP2R2A
84,MRPL46
85,SKA3
86,MRPS5
87,PSMD4
88,SPDL1
89,TGIF2
90,GTF2H4
91,NAT10
92,YTHDC1
93,MRPS21
94,RBBP8
95,RPL5
96,CENPW
97,MED24
98,HYPK
99,CARS2
100,SNRPD3
101,PNISR
102,FAM98B
103,RFC5
104,MRPL27
105,LEO1
106,GFER
107,MRPL39
108,CENPP
109,RBM25
110,PTTG1
111,MASTL
112,NDUFB1
113,RRM1
114,CCDC84
115,EIF4G2
116,ACTR10
117,NUBP1
118,CDK1
119,CAPZB
120,PITRM1
121,NFYC
122,MED14
123,WDR61
124,ZMAT5
125,SNRNP200
126,GNPAT
127,NCAPD2
128,SCO1
129,RPS18
130,RPLP2
131,FAM50A
132,ASCC3
133,UBA2
134,CENPK
135,SNRPG
136,POLN
137,RPL30
138,EXOSC4
139,RPL11
140,CACTIN
141,RFC4
142,GTF3C3
143,CDC27
144,HSCB
145,MBTPS2
146,EIF3M
147,POLE2
148,MED22
149,MTBP
150,NACA
151,EMC4
152,ZNHIT6
153,SLC7A6OS
154,MRPS11
155,RPS27A
156,MRPS14
157,GPN3
158,PSMB7
159,MARS2
160,CDC26
161,ZNF830
162,MTHFD2
163,KDM1A
164,MAPKAP1
165,RPA3
166,DICER1
167,AURKA
168,NIP7
169,MRPL10
170,SFXN1
171,ACTL6A
172,CDK12
173,SNRPB
174,TRNAU1AP
175,BDP1
176,PSPH
177,NOL9
178,TAF2
179,METTL17
180,OGFOD1
181,CWC22
182,TAF1A
183,PTCD3
184,FARSA
185,MRPS35
186,PPIE
187,COPS4
188,ARL2
189,RPL10
190,PFAS
191,RPTOR
192,ATP1A1
193,COX16
194,SLC7A1
195,RPF2
196,MRPS10
197,RAD51
198,NUP85
199,POLD3
200,RPP38
201,TOMM22
202,RBFA
203,AFG3L2
204,XRN2
205,POLR2K
206,POLR3A
207,SSB
208,POLR2B
209,GTPBP4
210,PAXBP1
211,DCTN4
212,PSMB6
213,MRPL3
214,LONP1
215,EIF2B5
216,MFAP1
217,NDUFA2
218,MED28
219,AARS2
220,TTC4
221,ZNRD1
222,EXOSC2
223,NAA25
224,GEMIN2
225,MRPL11
226,DYNC1H1
227,SNRPC
228,PTCD1
229,PDCD7
230,TAF1
231,TIPIN
232,RPL32
233,DAP3
234,MED17
235,CEP192
236,RPL28
237,SNAPC1
238,AATF
239,VPS29
240,HCCS
241,MRPL13
242,PGK1
243,MRPL19
244,SKIV2L
245,RPP30
246,UQCRB
247,NDUFB2
248,TSEN2
249,COQ2
250,MRPS9
251,CEP152
252,SDHC
253,TRMT5
254,COPA
255,CMAS
256,SF3B1
257,ANKZF1
258,EIF2B2
259,MRPL33
260,GNL2
261,METAP2
262,CHMP2A
263,EIF5B
264,ADAT2
265,ATP6V1G1
266,MRPL15
267,MRPS18B
268,NOLC1
269,MCM4
270,STXBP4
271,NDUFA8
272,WDR36
273,SMNDC1
274,RTF1
275,ABCB7
276,INTS5
277,RPS28
278,RBM17
279,FDPS
280,COX7C
281,ARIH1
282,MRPL18
283,BUB3
284,PSMC2
285,COX5A
286,TRPM7
287,MRPS16
288,DHODH
289,CAMLG
290,EIF6
291,PRMT5
292,PPWD1
293,SRSF7
294,MZT1
295,CTNNBL1
296,MRPS30
297,DHX37
298,SNRNP70
299,SRFBP1
300,RPL35
301,SPAG7
302,EXOSC6
303,EBNA1BP2
304,PSMD6
305,BTF3
306,MTOR
307,POLR3B
308,RNF20
309,RPL24
310,EIF4A1
311,MRPL32
312,DUT
313,MCM3
314,BNIP1
315,CENPM
316,NOL10
317,SAP18
318,NAMPT
319,MRPL43
320,LIAS
321,MRPL24
322,MED10
323,UBA3
324,MED1
325,TCOF1
326,EIF4G1
327,UMPS
328,POLD1
329,COA3
330,PSMC1
331,MRPS25
332,CDC23
333,OPA1
334,NOP58
335,DDX18
336,NDUFB4
337,PPCS
338,MRPL37
339,POLA1
340,CNOT1
341,MRPL36
342,SYVN1
343,SSBP1
344,NUP54
345,CCT8
346,CDC40
347,RAE1
348,DLST
349,MRPL16
350,FBXO28
351,TRRAP
