unique_genes,gene
AARS2,AARS2
AATF,AATF
ABCB7,ABCB7
ACTL6A,ACTL6A
ACTR10,ACTR10
ADAT2,ADAT2
AFG3L2,AFG3L2
ANKZF1,ANKZF1
ARGLU1,ARGLU1
ARIH1,ARIH1
ARL2,ARL2
ASCC3,ASCC3
ATP1A1,ATP1A1
ATP6V1G1,ATP6V1G1
AURKA,AURKA
BDP1,BDP1
BNIP1,BNIP1
BOD1L1,BOD1L1
BTF3,BTF3
BUB3,BUB3
CACTIN,CACTIN
CAMLG,CAMLG
CAPZB,CAPZB
CARS2,CARS2
CCDC84,CCDC84
CCNK,CCNK
CCT8,CCT8
CDC16,CDC16
CDC23,CDC23
CDC26,CDC26
CDC27,CDC27
CDC40,CDC40
CDK1,CDK1
CDK12,CDK12
CENPK,CENPK
CENPM,CENPM
CENPP,CENPP
CENPW,CENPW
CEP152,CEP152
CEP192,CEP192
CHMP2A,CHMP2A
CMAS,CMAS
CNOT1,CNOT1
COA3,COA3
COPA,COPA
COPE,COPE
COPS4,COPS4
COQ2,COQ2
COX16,COX16
COX5A,COX5A
COX7C,COX7C
CSTF3,CSTF3
CTNNBL1,CTNNBL1
CWC22,CWC22
DAP3,DAP3
DCTN4,DCTN4
DDX18,DDX18
DDX46,DDX46
DHODH,DHODH
DHX37,DHX37
DICER1,DICER1
DLST,DLST
DUT,DUT
DYNC1H1,DYNC1H1
EBNA1BP2,EBNA1BP2
EEF1G,EEF1G
EFR3A,EFR3A
EIF2B2,EIF2B2
EIF2B5,EIF2B5
EIF3H,EIF3H
EIF3M,EIF3M
EIF4A1,EIF4A1
EIF4G1,EIF4G1
EIF4G2,EIF4G2
EIF5B,EIF5B
EIF6,EIF6
ELP4,ELP4
EMC1,EMC1
EMC2,EMC2
EMC4,EMC4
EMC7,EMC7
EXOSC2,EXOSC2
EXOSC4,EXOSC4
EXOSC6,EXOSC6
FAM50A,FAM50A
FAM98B,FAM98B
FARSA,FARSA
FBXO28,FBXO28
FDPS,FDPS
FH,FH
FIP1L1,FIP1L1
GEMIN2,GEMIN2
GEMIN4,GEMIN4
GFER,GFER
GNL2,GNL2
GNL3L,GNL3L
GNPAT,GNPAT
GPN3,GPN3
GTF2H4,GTF2H4
GTF3C3,GTF3C3
GTPBP4,GTPBP4
HCCS,HCCS
HSCB,HSCB
HUS1,HUS1
HYPK,HYPK
IMPDH2,IMPDH2
INTS3,INTS3
INTS5,INTS5
KCTD10,KCTD10
KDM1A,KDM1A
LARS2,LARS2
LEO1,LEO1
LIAS,LIAS
LONP1,LONP1
MAPKAP1,MAPKAP1
MARS2,MARS2
MASTL,MASTL
MAX,MAX
MBTPS2,MBTPS2
MCM3,MCM3
MCM3AP,MCM3AP
MCM4,MCM4
MED1,MED1
MED10,MED10
MED14,MED14
MED17,MED17
MED22,MED22
MED23,MED23
MED24,MED24
MED28,MED28
MED9,MED9
METAP2,METAP2
METTL17,METTL17
MFAP1,MFAP1
MPHOSPH6,MPHOSPH6
MRPL10,MRPL10
MRPL11,MRPL11
MRPL13,MRPL13
MRPL15,MRPL15
MRPL16,MRPL16
MRPL18,MRPL18
MRPL19,MRPL19
MRPL22,MRPL22
MRPL24,MRPL24
MRPL27,MRPL27
MRPL3,MRPL3
MRPL32,MRPL32
MRPL33,MRPL33
MRPL35,MRPL35
MRPL36,MRPL36
MRPL37,MRPL37
MRPL39,MRPL39
MRPL42,MRPL42
MRPL43,MRPL43
MRPL46,MRPL46
MRPS10,MRPS10
MRPS11,MRPS11
MRPS14,MRPS14
MRPS16,MRPS16
MRPS18A,MRPS18A
MRPS18B,MRPS18B
MRPS21,MRPS21
MRPS23,MRPS23
MRPS25,MRPS25
MRPS27,MRPS27
MRPS30,MRPS30
MRPS35,MRPS35
MRPS5,MRPS5
MRPS9,MRPS9
MTBP,MTBP
MTHFD2,MTHFD2
MTOR,MTOR
MTPAP,MTPAP
MZT1,MZT1
NAA25,NAA25
NACA,NACA
NAMPT,NAMPT
NAT10,NAT10
NCAPD2,NCAPD2
NCBP1,NCBP1
NDUFA2,NDUFA2
NDUFA8,NDUFA8
NDUFA9,NDUFA9
NDUFB1,NDUFB1
NDUFB2,NDUFB2
NDUFB4,NDUFB4
NEMF,NEMF
NFE2L1,NFE2L1
NFYC,NFYC
NIP7,NIP7
NOC2L,NOC2L
NOL10,NOL10
NOL9,NOL9
NOLC1,NOLC1
NOP58,NOP58
NSMCE1,NSMCE1
NUBP1,NUBP1
NUDC,NUDC
NUP43,NUP43
NUP54,NUP54
NUP85,NUP85
OGFOD1,OGFOD1
OPA1,OPA1
PAXBP1,PAXBP1
PDCD7,PDCD7
PDRG1,PDRG1
PDSS2,PDSS2
PFAS,PFAS
PGD,PGD
PGK1,PGK1
PITRM1,PITRM1
PMF1,PMF1
PNISR,PNISR
PNN,PNN
POLA1,POLA1
POLD1,POLD1
POLD3,POLD3
POLE,POLE
POLE2,POLE2
POLN,POLN
POLR2B,POLR2B
POLR2K,POLR2K
POLR3A,POLR3A
POLR3B,POLR3B
PPAT,PPAT
PPCS,PPCS
PPIE,PPIE
PPP2R1A,PPP2R1A
PPP2R2A,PPP2R2A
PPWD1,PPWD1
PRMT5,PRMT5
PSMB6,PSMB6
PSMB7,PSMB7
PSMC1,PSMC1
PSMC2,PSMC2
PSMD12,PSMD12
PSMD4,PSMD4
PSMD6,PSMD6
PSPH,PSPH
PTCD1,PTCD1
PTCD3,PTCD3
PTTG1,PTTG1
PWP1,PWP1
RAD51,RAD51
RAE1,RAE1
RBBP8,RBBP8
RBFA,RBFA
RBM17,RBM17
RBM25,RBM25
REXO2,REXO2
RFC4,RFC4
RFC5,RFC5
RINT1,RINT1
RNF20,RNF20
RNGTT,RNGTT
ROMO1,ROMO1
RPA3,RPA3
RPF2,RPF2
RPL10,RPL10
RPL11,RPL11
RPL23,RPL23
RPL24,RPL24
RPL27,RPL27
RPL28,RPL28
RPL3,RPL3
RPL30,RPL30
RPL32,RPL32
RPL35,RPL35
RPL36A,RPL36A
RPL5,RPL5
RPLP1,RPLP1
RPLP2,RPLP2
RPP30,RPP30
RPP38,RPP38
RPS18,RPS18
RPS27A,RPS27A
RPS28,RPS28
RPTOR,RPTOR
RRM1,RRM1
RTF1,RTF1
SAP18,SAP18
SCO1,SCO1
SDHC,SDHC
SEH1L,SEH1L
SF3B1,SF3B1
SFXN1,SFXN1
SKA3,SKA3
SKIV2L,SKIV2L
SLC7A1,SLC7A1
SLC7A6OS,SLC7A6OS
SMC5,SMC5
SMNDC1,SMNDC1
SNAPC1,SNAPC1
SNIP1,SNIP1
SNRNP200,SNRNP200
SNRNP70,SNRNP70
SNRPB,SNRPB
SNRPC,SNRPC
SNRPD3,SNRPD3
SNRPG,SNRPG
SPAG7,SPAG7
SPDL1,SPDL1
SRFBP1,SRFBP1
SRSF7,SRSF7
SSB,SSB
SSBP1,SSBP1
STXBP4,STXBP4
SYVN1,SYVN1
TAF1,TAF1
TAF1A,TAF1A
TAF2,TAF2
TBC1D31,TBC1D31
TBCB,TBCB
TCF25,TCF25
TCOF1,TCOF1
TFB1M,TFB1M
TGIF2,TGIF2
TIMM22,TIMM22
TIMM9,TIMM9
TIPIN,TIPIN
TOMM22,TOMM22
TRA2B,TRA2B
TRMT5,TRMT5
TRNAU1AP,TRNAU1AP
TRPM7,TRPM7
TRRAP,TRRAP
TSEN2,TSEN2
TTC4,TTC4
TUBB,TUBB
TUBGCP3,TUBGCP3
TUBGCP5,TUBGCP5
UBA2,UBA2
UBA3,UBA3
UMPS,UMPS
UQCRB,UQCRB
USE1,USE1
VPS29,VPS29
WARS2,WARS2
WDR36,WDR36
WDR61,WDR61
WDR7,WDR7
WDR77,WDR77
XPO1,XPO1
XRN2,XRN2
YTHDC1,YTHDC1
ZCCHC9,ZCCHC9
ZMAT2,ZMAT2
ZMAT5,ZMAT5
ZNF511,ZNF511
ZNF830,ZNF830
ZNHIT6,ZNHIT6
ZNRD1,ZNRD1
