id	name	name_mapped
1	38679	STARD3
2	27506	PYCR3
11	7888	KCND3
15	51157	PRDM10
16	12150	TG
28	18943	SEMA3D
29	25584	DEPP1
33	45672	NXN
34	40546	CD96
38	24386	NR2F6
46	53316	EPB42
50	35819	ZNF140
51	25643	SMG6
53	48145	PHKG1
57	1215	ADGRG1
62	24052	C17orf67
69	48820	SP6
71	42422	CENPX
75	12148	NAGPA
79	46833	SLAMF8
80	53447	TAP2
85	1256	MPP3
87	17865	RNF6
91	18370	MAGED2
92	3436	CREBZF
95	12033	CTDSP2
101	20292	GLE1
106	33663	ECH1
107	8613	ZNF32
109	29121	FANCI
116	26743	TAOK1
118	37717	ZMYM4
127	33385	CHD9
129	29800	IDI1
132	9224	SLC25A28
134	42439	CDK4
136	18074	RAB3IP
144	49069	RBBP6
153	21088	UBL4A
154	18321	TAS2R1
170	38969	RTBDN
174	50715	VIPR1
175	33586	RAB18
179	4566	HIVEP1
206	1487	MBNL1
207	2628	PSMD13
215	30315	ACAP1
227	19072	SMAD7
230	51683	NSUN5
231	38767	ASB7
233	53887	WDR55
238	15710	TMEM102
253	3113	WLS
255	47128	PUM2
257	36731	BMPR1A
261	25580	ZNF511
263	8394	CPSF2
265	10298	ANKH
270	41689	PRKACG
281	5237	CTAG2
291	50962	LDHB
302	35073	NDUFA3
309	30590	IMMP2L
315	37455	TMEM186
319	27067	TMEM213
321	32846	PRRX2
325	18756	ATP7A
328	14297	SCN2B
331	53526	EEF1G
334	44531	ZNF653
341	29274	WARS2
345	1800	SPATA4
358	21509	FBLN1
369	39211	COL25A1
370	36456	CACUL1
383	15033	FKBP11
389	49569	RHOG
392	24583	RPLP1
396	48674	WDR7
398	45808	PMAIP1
429	45430	STRBP
433	41918	TACR1
437	7437	MYO1B
445	22950	LILRB5
448	14964	TPST2
450	36257	SEMA4A
458	21967	LCE1B
466	12340	EIF2S1
472	4573	PBRM1
479	9561	HCN3
482	25995	COPB2
497	43260	UBXN1
502	6897	SST
505	42504	VWCE
515	10337	LACC1
526	33330	DCLRE1A
529	23815	C5orf63
544	42321	WSB2
548	48164	ZFP37
550	36488	MAPKBP1
551	51365	LRRC37A3
555	49565	ZIK1
558	42749	UPF2
559	37609	MLH3
563	13453	PRPF3
567	47996	ERAL1
570	22205	ZNRF3
572	19278	DNAJB11
576	21085	IBSP
596	53937	NUP58
606	19455	ACAT1
610	18226	DAD1
616	8985	CHCHD3
620	37237	DGKH
621	3036	C6orf132
625	25226	TIMELESS
638	52474	GPR157
640	2718	ZDHHC17
643	9733	C8A
646	34589	PIBF1
652	12304	ELF3
673	52422	MED19
674	3347	PIGV
677	15951	TTN
681	26818	APTX
683	33273	NEDD8
687	45484	PEX11B
702	48795	BARD1
703	36851	WDR77
705	33143	CCL24
710	14646	GSDME
716	51827	TUBGCP3
720	40520	RBM39
728	21630	KIR2DL3
730	2150	CRP
731	46304	CLIP4
733	11316	RPGRIP1
735	42303	NT5C3B
736	49348	PARD6B
