id,unique_genes
0,ZNF511
1,EEF1G
2,WARS2
3,RPLP1
4,WDR7
5,TIMELESS
6,WDR77
7,TUBGCP3
8,COPS2
9,RINT1
10,REXO2
11,EFR3A
12,GNL3L
13,MPHOSPH6
14,INTS3
15,RPL27
16,TBCB
17,TUBGCP5
18,XPO1
19,MTPAP
20,PDSS2
21,ATXN10
22,NSMCE1
23,IMPDH2
24,SNIP1
25,ANAPC13
26,CDC16
27,PWP1
28,TIMM22
29,SEH1L
30,FH
31,NFE2L1
32,FIP1L1
33,DONSON
34,EIF3H
35,DDX46
36,NUP43
37,MED9
38,TUBB
39,KCTD10
40,SMC5
41,MAX
42,CCNK
43,GOLT1B
44,EMC2
45,CSTF3
46,PPP2R1A
47,TRA2B
48,ZMAT2
49,TIMM9
50,NUDC
51,MED23
52,NCBP1
53,PSMD12
54,BOD1L1
55,MRPS23
56,RPL3
57,PNN
58,MRPL42
59,ROMO1
60,TAZ
61,ZCCHC9
62,SCYL1
63,MRPL22
64,GEMIN4
65,TBC1D31
66,RNGTT
67,MRPS18A
68,PGD
69,TCF25
70,APOOL
71,USE1
72,TFB1M
73,PDRG1
74,NDUFA9
75,EMC7
76,ARGLU1
77,PPAT
78,RPL23
79,NEMF
80,NOC2L
81,COPE
82,LARS2
83,POLE
84,ELP4
85,EMC1
86,PMF1
87,GTF2E1
88,MRPS27
89,HUS1
90,RPL36A
91,MCM3AP
92,PPP2R2A
93,MRPL46
94,SKA3
95,MRPS5
96,PMVK
97,PSMD4
98,TGIF2
99,GTF2H4
100,KIF14
101,NAT10
102,YTHDC1
103,CDCA8
104,MRPS21
105,RBBP8
106,RPL5
107,CENPW
108,MED24
109,HYPK
110,CARS2
111,SNRPD3
112,PNISR
113,FAM98B
114,RFC5
115,MRPL27
116,LEO1
117,GFER
118,ZNF574
119,CLSPN
120,SRP19
121,MRPL39
122,CENPP
123,RBM25
124,PTTG1
125,MASTL
126,NDUFB1
127,RRM1
128,CCDC84
129,PHF5A
130,ACTR10
131,NUBP1
132,CDK1
133,CAPZB
134,PITRM1
135,TIMM23B
136,NFYC
137,MED14
138,WDR61
139,ZMAT5
140,COPS5
141,GNPAT
142,WDR70
143,PRPF18
144,NCAPD2
145,SCO1
146,RPS18
147,RPLP2
148,FAM50A
149,ASCC3
150,UBA2
151,CENPK
152,SNRPG
153,POLN
154,RPL30
155,EXOSC4
156,RPL11
157,CACTIN
158,RFC4
159,GTF3C3
160,COG3
161,CDC27
162,HSCB
163,MBTPS2
164,EIF3M
165,POLE2
166,MED22
167,MTBP
168,NACA
169,EMC4
170,ZNHIT6
171,SLC7A6OS
172,MRPS11
173,GFI1B
174,RPS27A
175,PMPCB
176,CEP63
177,MRPS14
178,GPN3
179,LUC7L3
180,PSMB7
181,MARS2
182,CDC26
183,ZNF830
184,MTHFD2
185,KDM1A
186,MAPKAP1
187,RPA3
188,RBM22
189,DICER1
190,AURKA
191,NIP7
192,MRPL10
193,SFXN1
194,ACTL6A
195,CDK12
196,SNRPB
197,TRNAU1AP
198,BDP1
199,PSPH
200,NOL9
201,CIT
202,TAF2
203,METTL17
204,OGFOD1
205,TAF1A
206,PTCD3
207,FARSA
208,MRPS35
209,PPIE
210,COPS4
211,ARL2
212,VPS72
213,RPL10
214,PFAS
215,RPTOR
216,ATP1A1
217,COX16
218,MRPS28
219,VPS4A
220,SLC7A1
221,RPF2
222,MRPS10
223,RAD51
224,NUP85
225,POLD3
226,RPP38
227,TOMM22
228,RBFA
229,AFG3L2
230,XRN2
231,POLR2K
232,POLR3A
233,SSB
234,POLR2B
235,GTPBP4
236,PSMD1
237,GTF2H1
238,PAXBP1
239,HBS1L
240,DCTN4
241,PSMB6
242,MRPL3
243,LONP1
244,EIF2B5
245,SPATA5
246,MFAP1
247,NDUFA2
248,ATP6AP1
249,MED28
250,AARS2
251,TTC4
252,ZNRD1
253,EXOSC2
254,NAA25
255,GEMIN2
256,DYNC1H1
257,SNRPC
258,KIF11
259,PTCD1
260,PDCD7
261,TAF1
262,CKAP5
263,TIPIN
264,RPL32
265,DAP3
266,MED17
267,NOL8
268,EXOSC9
269,FARSB
270,CEP192
271,RPL28
272,RPL13
273,SNAPC1
274,PELO
275,AATF
276,VPS29
277,HCCS
278,MRPL13
279,PGK1
280,MRPL19
281,SKIV2L
282,RPP30
283,UQCRB
284,BUB1B
285,NDUFB2
286,PAFAH1B1
287,MAT2A
288,TSEN2
289,COQ2
290,MRPS9
291,CEP152
292,SDHC
293,TRMT5
294,PSMC6
295,CMAS
296,RPL8
297,SF3B1
298,ANKZF1
299,MRPL33
300,GNL2
301,METAP2
302,CHMP2A
303,EMC6
304,EIF5B
305,ADAT2
306,ATP6V1G1
307,DCTN2
308,MRPL15
309,MRPS18B
310,NOLC1
311,MCM4
312,STXBP4
313,NDUFA8
314,WDR36
315,SMNDC1
316,RTF1
317,TUBGCP4
318,ABCB7
319,INTS5
320,RPS28
321,NAA50
322,RBM17
323,FDPS
324,COX7C
325,ARIH1
326,MRPL18
327,BUB3
328,PSMC2
329,NSMCE4A
330,COX5A
331,SLC35A1
332,TRPM7
333,MRPS16
334,DHODH
335,CAMLG
336,SLC39A9
337,MRPL50
338,EIF6
339,ZWINT
340,CDC73
341,TTI2
342,PRMT5
343,PPWD1
344,SRSF7
345,MZT1
346,CTNNBL1
347,MRPS30
348,DHX37
349,SNRNP70
350,SRFBP1
351,RPL35
352,SPAG7
353,EXOSC6
354,EBNA1BP2
355,PSMD6
356,CYB5B
357,BTF3
358,MTOR
359,POLR3B
360,RNF20
361,RPL24
362,EIF4A1
363,MRPL32
364,MCM3
365,COX6C
366,BNIP1
367,CENPM
368,NOL10
369,SAP18
370,NAMPT
371,MRPL43
372,ERH
373,LIAS
374,MRPL24
375,UBA3
376,MED1
377,TCOF1
378,EIF4G1
379,UMPS
380,EIF3D
381,POLD1
382,COA3
383,PSMC1
384,MRPS25
385,CDC23
386,OPA1
387,NOP58
388,DDX18
389,NDUFB4
390,PPCS
391,MRPL37
392,POLA1
393,CNOT1
394,MRPL36
395,SYVN1
396,SSBP1
397,GINS4
398,NUP54
399,CCT8
400,CDC40
401,RAE1
402,DLST
403,ADPRM
404,MRPL16
405,FBXO28
406,TRRAP
