id,unique_genes
261,ZNF511
331,EEF1G
341,WARS2
392,RPLP1
396,WDR7
625,TIMELESS
703,WDR77
716,TUBGCP3
851,COPS2
992,RINT1
1029,REXO2
1040,EFR3A
1145,GNL3L
1159,MPHOSPH6
1195,INTS3
1516,RPL27
1547,TBCB
1629,TUBGCP5
1661,XPO1
1665,MTPAP
1854,PDSS2
1870,ATXN10
1877,NSMCE1
2583,IMPDH2
2624,SNIP1
2645,ANAPC13
2940,CDC16
3005,PWP1
3050,TIMM22
3135,SEH1L
3355,FH
3368,NFE2L1
3765,FIP1L1
3799,DONSON
3824,EIF3H
4010,DDX46
4300,NUP43
4383,MED9
4585,TUBB
4961,KCTD10
5128,SMC5
5247,MAX
5355,CCNK
5545,GOLT1B
5662,EMC2
5681,CSTF3
5719,PPP2R1A
6063,TRA2B
6125,ZMAT2
6579,TIMM9
6722,NUDC
6914,MED23
6938,NCBP1
7131,PSMD12
7245,BOD1L1
7327,MRPS23
7347,RPL3
7683,PNN
7733,MRPL42
8090,ROMO1
8122,TAZ
8204,ZCCHC9
8248,SCYL1
8453,MRPL22
8763,GEMIN4
8833,TBC1D31
9185,RNGTT
9349,MRPS18A
9350,PGD
9405,TCF25
9645,APOOL
9814,USE1
9875,TFB1M
9911,PDRG1
9951,NDUFA9
10057,EMC7
10164,ARGLU1
10316,PPAT
10385,RPL23
10525,NEMF
10611,NOC2L
10662,COPE
10748,LARS2
10751,POLE
10758,ELP4
10876,EMC1
11089,PMF1
11101,GTF2E1
11251,MRPS27
11328,HUS1
11540,RPL36A
11800,MCM3AP
11825,PPP2R2A
11910,MRPL46
12238,SKA3
12432,MRPS5
12517,PMVK
12944,PSMD4
13012,TGIF2
13062,GTF2H4
13268,KIF14
13395,NAT10
13599,YTHDC1
13650,CDCA8
13950,MRPS21
14026,RBBP8
14317,RPL5
14572,CENPW
14851,MED24
15084,HYPK
15130,CARS2
15257,SNRPD3
15346,PNISR
15478,FAM98B
15548,RFC5
15785,MRPL27
15824,LEO1
15868,GFER
16041,ZNF574
16206,CLSPN
16320,SRP19
16389,MRPL39
16502,CENPP
