id,unique_genes
0,AARS2
1,AATF
2,ABCB7
3,ACTL6A
4,ACTR10
5,ADAT2
6,ADPRM
7,AFG3L2
8,ANAPC13
9,ANKZF1
10,APOOL
11,ARGLU1
12,ARIH1
13,ARL2
14,ASCC3
15,ATP1A1
16,ATP6AP1
17,ATP6V1G1
18,ATXN10
19,AURKA
20,BDP1
21,BNIP1
22,BOD1L1
23,BTF3
24,BUB1B
25,BUB3
26,CACTIN
27,CAMLG
28,CAPZB
29,CARS2
30,CCDC84
31,CCNK
32,CCT8
33,CDC16
34,CDC23
35,CDC26
36,CDC27
37,CDC40
38,CDC73
39,CDCA8
40,CDK1
41,CDK12
42,CENPK
43,CENPM
44,CENPP
45,CENPW
46,CEP152
47,CEP192
48,CEP63
49,CHMP2A
50,CIT
51,CKAP5
52,CLSPN
53,CMAS
54,CNOT1
55,COA3
56,COG3
57,COPE
58,COPS2
59,COPS4
60,COPS5
61,COQ2
62,COX16
63,COX5A
64,COX6C
65,COX7C
66,CSTF3
67,CTNNBL1
68,CYB5B
69,DAP3
70,DCTN2
71,DCTN4
72,DDX18
73,DDX46
74,DHODH
75,DHX37
76,DICER1
77,DLST
78,DONSON
79,DYNC1H1
80,EBNA1BP2
81,EEF1G
82,EFR3A
83,EIF2B5
84,EIF3D
85,EIF3H
86,EIF3M
87,EIF4A1
88,EIF4G1
89,EIF5B
90,EIF6
91,ELP4
92,EMC1
93,EMC2
94,EMC4
95,EMC6
96,EMC7
97,ERH
98,EXOSC2
99,EXOSC4
100,EXOSC6
101,EXOSC9
102,FAM50A
103,FAM98B
104,FARSA
105,FARSB
106,FBXO28
107,FDPS
108,FH
109,FIP1L1
110,GEMIN2
111,GEMIN4
112,GFER
113,GFI1B
114,GINS4
115,GNL2
116,GNL3L
117,GNPAT
118,GOLT1B
119,GPN3
120,GTF2E1
121,GTF2H1
122,GTF2H4
123,GTF3C3
124,GTPBP4
125,HBS1L
126,HCCS
127,HSCB
128,HUS1
129,HYPK
130,IMPDH2
131,INTS3
132,INTS5
133,KCTD10
134,KDM1A
135,KIF11
136,KIF14
137,LARS2
138,LEO1
139,LIAS
140,LONP1
141,LUC7L3
142,MAPKAP1
143,MARS2
144,MASTL
145,MAT2A
146,MAX
147,MBTPS2
148,MCM3
149,MCM3AP
150,MCM4
151,MED1
152,MED14
153,MED17
154,MED22
155,MED23
156,MED24
157,MED28
158,MED9
159,METAP2
160,METTL17
161,MFAP1
162,MPHOSPH6
163,MRPL10
164,MRPL13
165,MRPL15
166,MRPL16
167,MRPL18
168,MRPL19
169,MRPL22
170,MRPL24
171,MRPL27
172,MRPL3
173,MRPL32
174,MRPL33
175,MRPL36
176,MRPL37
177,MRPL39
178,MRPL42
179,MRPL43
180,MRPL46
181,MRPL50
182,MRPS10
183,MRPS11
184,MRPS14
185,MRPS16
186,MRPS18A
187,MRPS18B
188,MRPS21
189,MRPS23
190,MRPS25
191,MRPS27
192,MRPS28
193,MRPS30
194,MRPS35
195,MRPS5
196,MRPS9
197,MTBP
198,MTHFD2
199,MTOR
200,MTPAP
201,MZT1
202,NAA25
203,NAA50
204,NACA
205,NAMPT
206,NAT10
207,NCAPD2
208,NCBP1
209,NDUFA2
210,NDUFA8
211,NDUFA9
212,NDUFB1
213,NDUFB2
214,NDUFB4
215,NEMF
216,NFE2L1
217,NFYC
218,NIP7
219,NOC2L
220,NOL10
221,NOL8
222,NOL9
223,NOLC1
224,NOP58
225,NSMCE1
226,NSMCE4A
227,NUBP1
228,NUDC
229,NUP43
230,NUP54
231,NUP85
232,OGFOD1
233,OPA1
234,PAFAH1B1
235,PAXBP1
236,PDCD7
237,PDRG1
238,PDSS2
239,PELO
240,PFAS
241,PGD
242,PGK1
243,PHF5A
244,PITRM1
245,PMF1
246,PMPCB
247,PMVK
248,PNISR
249,PNN
250,POLA1
251,POLD1
252,POLD3
253,POLE
254,POLE2
255,POLN
256,POLR2B
257,POLR2K
258,POLR3A
259,POLR3B
260,PPAT
261,PPCS
262,PPIE
263,PPP2R1A
264,PPP2R2A
265,PPWD1
266,PRMT5
267,PRPF18
268,PSMB6
269,PSMB7
270,PSMC1
271,PSMC2
272,PSMC6
273,PSMD1
274,PSMD12
275,PSMD4
276,PSMD6
277,PSPH
278,PTCD1
279,PTCD3
280,PTTG1
281,PWP1
282,RAD51
283,RAE1
284,RBBP8
285,RBFA
286,RBM17
287,RBM22
288,RBM25
289,REXO2
290,RFC4
291,RFC5
292,RINT1
293,RNF20
294,RNGTT
295,ROMO1
296,RPA3
297,RPF2
298,RPL10
299,RPL11
300,RPL13
301,RPL23
302,RPL24
303,RPL27
304,RPL28
305,RPL3
306,RPL30
307,RPL32
308,RPL35
309,RPL36A
310,RPL5
311,RPL8
312,RPLP1
313,RPLP2
314,RPP30
315,RPP38
