Gene1,Gene2,Error
LEO1,WDR61,0.046158493
FDPS,UBA2,0.07832229
GTF2H4,LEO1,0.103055894
CDC27,WDR61,0.10445809
BNIP1,WDR61,0.11845368
HUS1,UBA2,0.12880725
ARL2,KIAA1731,0.13101238
BNIP1,LEO1,0.13218921
LEO1,PDRG1,0.14660901
CTNNBL1,GEMIN4,0.15322667
CHMP2A,LEO1,0.16606688
FAM50A,NIP7,0.18755397
ASNA1,NIP7,0.18782726
CDK1,LEO1,0.19083321
RFC4,RPL28,0.19521645
EIF6,HUS1,0.19710022
BUB3,RAD51,0.20113656
MED14,MINOS1,0.20291978
CHMP2A,RPL28,0.20582159
GEMIN4,GTF2H4,0.20654827
MRPS21,SEH1L,0.20687027
MARS2,MFAP1,0.20917729
MRPL13,MRPS35,0.21219426
LIAS,PSMD4,0.21312533
ANKZF1,MRPL43,0.21366003
ASCC3,NAT10,0.22369395
MRPL32,NUP85,0.22371478
CTNNBL1,SDHC,0.23119754
NOLC1,TIMM22,0.23200412
AATF,PPCS,0.23228192
COPS4,SMC5,0.23411989
DHODH,HUS1,0.23790777
NUP54,PTCD3,0.24275981
MRPS35,NSMCE1,0.2428549
ARL2,RPL11,0.2453565
COPS4,NUDC,0.25171244
EIF3H,EXOSC2,0.251947
BNIP1,MED23,0.25899786
FAM50A,FBXO28,0.26116833
CCNK,MED28,0.26122347
CDC27,CENPW,0.27211887
MBTPS2,TOMM22,0.2812227
CENPW,SKA3,0.28164583
PRIM2,UBA2,0.2832731
KDM1A,NDUFA9,0.2855094
MED1,MED9,0.2857123
INTS3,PSMB7,0.29032284
EIF4A1,RPL10,0.2950299
LEO1,NAMPT,0.29743028
MED24,MINOS1,0.2977497
NUBP1,PPAT,0.29781845
TRA2B,XRN2,0.29921198
PPIE,PTCD3,0.30324754
BUB3,SPAG7,0.30415714
EIF6,GNL3L,0.3047831
PRIM2,YTHDC1,0.305296
DDX46,FIP1L1,0.30587617
RPS18,ZNRD1,0.31406686
EIF6,Ltn1,0.31563568
MRPL32,TAF1,0.3179363
TCF25,TUBGCP5,0.3262664
DNTTIP2,PPP2R1A,0.32680726
CDK1,MINOS1,0.32818115
NCAPD2,USE1,0.3286841
RPS27A,SMC5,0.3309695
DICER1,RFC4,0.34296638
MRPS30,NACA,0.35171044
NOLC1,ZNF598,0.35320637
SPDL1,TRA2B,0.35458148
CDC40,SSBP1,0.35876396
MCM3,PITRM1,0.36665407
ARIH1,TIPIN,0.37443835
GEMIN4,SNRPD3,0.37602574
MED23,MINOS1-NBL1,0.38319886
ATP1A1,CDK1,0.39121273
AARS2,PET112,0.40040776
CWC22,FAM50A,0.41275305
CWC22,MZT1,0.4159345
ELP4,GNPAT,0.42306027
CDK12,EXOSC2,0.424093
MED1,MED24,0.4409082
MED23,MTBP,0.45003396
FAM208A,MCM4,0.4584068
CCDC84,RBM17,0.46181685
ARIH1,RPL10,0.46188974
COPS4,EIF2B5,0.46460366
MED1,NUBP1,0.47254163
RPL10,XRN2,0.4880624
POLE,SDHC,0.4960035
FAM50A,RPL30,0.5330398
METAP2,RPL36A,0.5491636
C14orf2,TRNAU1AP,0.54961634
CENPM,PET112,0.55402833
CCNK,CHMP2A,0.56053674
MRPL42,PGK1,0.57978296
DDX18,DHODH,0.59880537
MED24,MRPL24,0.6008251
CEP192,SEH1L,0.6494081
CDK12,CHMP2A,0.6512256
MRPL27,PITRM1,0.65629953
GNPAT,RPL35,0.6626816
EIF3H,EIF4G2,0.66608655
GFER,MRPL33,0.6698376
ACTR10,EIF4G1,0.67445105
ACTR10,TCOF1,0.6828373
MED24,SEH1L,0.6842829
EIF3H,EXOSC6,0.6909322
GTF3C3,Ltn1,0.69960606
MINOS1,TUBGCP3,0.7097443
RBBP8,UBA2,0.7170967
MRPS9,WDR61,0.71890813
MED24,MRPL36,0.72016084
CENPM,CEP192,0.72051924
DUT,RPS28,0.7395762
PSMD4,SSBP1,0.7422391
PSMD4,SNAPC1,0.7451775
AURKA,SNRPB,0.75340986
CENPK,XRN2,0.76972055
MED1,PSMD4,0.7714102
DUT,GEMIN2,0.7972892
GTPBP4,RPP30,0.8215117
ASCC3,RPLP1,0.8957394
