Gene1,Gene2,Error
MRPS21,NAMPT,1.150053e-05
MARS2,MRPL18,0.0003732428
NFE2L1,TFB1M,0.00057247403
NACA,NFE2L1,0.0006210891
CARS2,NSMCE4A,0.00068335875
MRPS18A,MRPS9,0.00069806905
GNL2,RINT1,0.00073620153
COPS4,NSMCE4A,0.00085618405
EEF1G,TGIF2,0.00088444364
NSMCE4A,ZNHIT6,0.0011717031
EEF1G,EXOSC6,0.0012350831
MTHFD2,TRRAP,0.0014698284
NAT10,RPTOR,0.0015615686
MAT2A,RPS28,0.0016111465
DDX18,MRPS16,0.0017947921
LARS,RFC4,0.0020037852
NAT10,UQCRB,0.0020429224
DLST,GNL2,0.0020434977
PDRG1,SLC7A6OS,0.0022200127
HYPK,RAD51,0.002383838
MAT2A,NOL9,0.0024329291
RBFA,RPL27,0.0025028642
MARS2,PPCS,0.0028977052
CEP192,RPS28,0.0031792435
CIRH1A,GNL2,0.0033422555
MRPL39,NOL10,0.0038472647
CDC40,MRPL46,0.003863637
RPL8,TIMM9,0.0042683315
LARS2,MRPL27,0.004773684
COG3,RPS28,0.0050807623
RRM1,SPATA5,0.005174462
ANKZF1,CEP152,0.005277187
MRPS25,TOMM22,0.005356384
ADAT2,SEC22B,0.0054169614
PDRG1,RPP30,0.0055439435
BUB3,CLSPN,0.0057919184
MRPL43,NOL10,0.0063891048
BTF3,LARS2,0.00677539
NFYC,NOL9,0.007433845
EFR3A,POLR2K,0.007845267
CLSPN,SNRPC,0.008232339
PMVK,TBCB,0.008502864
CARS2,MRPS9,0.008914475
DDX18,NCAPD2,0.009202919
MRPS28,NCBP1,0.009807817
COQ2,NFE2L1,0.010936249
COX7C,NSMCE1,0.011104395
C6orf203,CNOT1,0.011609934
GNL2,ZNF830,0.011916769
CDC27,RPP30,0.013474397
MED28,NACA,0.014750988
NIP7,SLC7A1,0.015070242
CCT8,SNRPC,0.01518353
DHX37,TSEN2,0.016801765
SLC35A1,TAF1A,0.017143592
AARS2,MCM4,0.0175295
DNTTIP2,NCBP1,0.01843856
SFXN1,UBA3,0.019153828
HCCS,MRPL42,0.019375661
CCDC84,EFR3A,0.020101113
CDC26,SNRPD3,0.02058047
DHX37,POLR3B,0.020701109
LEO1,WDR61,0.020976305
C9orf114,RPLP2,0.02167711
LEO1,VPS72,0.022221506
RNF20,RPL35,0.022677636
NAA50,PMVK,0.02273243
MRPL27,POLD1,0.023251496
CDC73,SSB,0.023690354
MBTPS2,NUDC,0.025985181
RRM1,STXBP4,0.02612495
FDPS,HCCS,0.026385544
EBNA1BP2,MED24,0.026500044
COX5A,TGIF2,0.027204785
ACTR10,SMC5,0.027503204
NAT10,SKIV2L,0.028092032
EEF1G,SGOL1,0.028703483
MRPL19,SLC7A6OS,0.029466758
KCTD10,PPP2R1A,0.02951181
MRPL43,MRPS18B,0.031278014
REXO2,SNAPC1,0.031603023
COX7C,NCAPD2,0.032069564
LEO1,NDUFB1,0.03215319
EIF5B,NOL8,0.03226398
COX7C,SSB,0.032638434
LEO1,PSMD1,0.03388059
CARS,SNAPC1,0.034334105
CENPM,MBTPS2,0.036039174
POLD1,USE1,0.036733992
LEO1,PNN,0.03684455
PPP2R1A,SNRPG,0.037094414
ANKZF1,RPL36A,0.037277203
ATP5A1,DHX37,0.039311823
LEO1,RTF1,0.040845037
GFI1B,PELO,0.04173684
KARS,KIF11,0.042009648
PAFAH1B1,ZNF574,0.042276204
KIF11,MED9,0.0433444
PPAT,TRPM7,0.044419587
ANAPC13,PPP2R1A,0.044485927
RPL35,RPTOR,0.044851497
ANKZF1,ARL2,0.04496078
LEO1,SDHC,0.045164585
PPP2R1A,UBA3,0.045241416
PELO,RPL36A,0.045822024
MZT1,NAT10,0.046623595
MRPS23,SRSF7,0.048287008
MED23,TIMELESS,0.04955882
RBBP8,TRMT5,0.049630288
EIF4G1,EIF6,0.049786124
BOD1L1,ZMAT2,0.049806487
PPP2R1A,TAF2,0.050064445
COPS5,PPP2R1A,0.05069828
NOC2L,RPL24,0.05073234
MRPL39,PSMB7,0.050869588
EBNA1BP2,POLD3,0.051251248
HUS1,WDR61,0.05240482
CAPZB,IARS,0.052491605
MRPS35,TOMM22,0.054103885
KDM1A,LEO1,0.0545007
AURKA,TAF1A,0.054653134
DCTN4,POLR2K,0.055615798
DNA2,NOC2L,0.05622216
ACTR10,PDRG1,0.0567595
WDR61,WDR7,0.057974637
KIF14,PPP2R1A,0.05831957
GTPBP4,TRA2B,0.059102353
ARL2,KIAA1731,0.059545696
LEO1,MAX,0.059690237
FDPS,PPP2R1A,0.060084343
MRPL18,PRIM2,0.06043617
FBXO28,SRP19,0.060595315
PPCS,PTCD3,0.061580203
ANAPC13,MBTPS2,0.061707914
MRPS21,TSEN2,0.061861064
PPP2R1A,PSMD6,0.06317234
LEO1,PSMC6,0.06473249
RAD51,RPL27,0.06665236
PELO,PSMD1,0.06721532
CDK1,LEO1,0.06739879
DHX37,VPS29,0.06759503
ACTR10,EIF3M,0.07073897
PELO,PNN,0.07287556
PELO,UBA3,0.07326549
MRPS28,POLR3B,0.074574515
KIAA1731,PAFAH1B1,0.075404406
CIRH1A,XRN2,0.07551497
AATF,MINOS1,0.077096164
CDC27,PPCS,0.07826065
ASNA1,RFC5,0.08129137
HUS1,TRA2B,0.08154982
TRMT5,ZMAT5,0.082307376
KARS,LEO1,0.082633376
LARS,LEO1,0.08281851
PAFAH1B1,RPL36A,0.08328074
ARIH1,ZNF574,0.083859146
CENPK,WDR61,0.08435887
EIF3H,SKA3,0.08482826
LEO1,PSMB7,0.086455286
NUP85,PPP2R1A,0.08691877
CHMP2A,PELO,0.08691925
BUB3,COPS2,0.08789604
GPN3,LEO1,0.08799195
KIF14,PELO,0.08856827
SAP18,SKA3,0.08965951
CENPK,VPS72,0.09169179
COX16,RPF2,0.09177668
NAA50,TIMELESS,0.093446314
AURKA,TCOF1,0.09530741
COG3,NUDC,0.09583676
ATP6V1G1,WDR7,0.09612858
MRPL50,PPAT,0.09933475
PNISR,POLN,0.10063606
DCAF7,DDX46,0.10085465
FAM98B,MED24,0.101012275
NUDC,NUP43,0.10117257
KCTD10,MRPS5,0.101845264
NDUFA2,ZNRD1,0.102086246
MARS,PPP2R1A,0.10255575
ARL2,CDC23,0.103871465
LONP1,WDR61,0.10390957
SSB,TIMELESS,0.10410911
NUP43,TIMELESS,0.105216265
HUS1,SDHC,0.105535924
ERH,ZNF574,0.10583395
SEC22B,WDR61,0.10605395
PELO,RPLP1,0.106455326
PELO,POLN,0.106658876
SCO1,SNRPB,0.107059784
EIF4G1,MRPL15,0.10896273
ATXN10,NOL8,0.10927827
BDP1,NDUFA8,0.10944009
MRPS35,NDUFA9,0.11076005
