Gene1,Gene2,Error
LEO1,WDR61,0.0017014146
CDC27,WDR61,0.009589791
BNIP1,WDR61,0.012029469
FDPS,UBA2,0.012530029
GTF2H4,LEO1,0.017571092
BNIP1,LEO1,0.019263148
LEO1,PDRG1,0.03529817
HUS1,UBA2,0.039594054
CDK1,LEO1,0.0522424
MED14,MINOS1,0.052827656
ARL2,KIAA1731,0.06801063
CTNNBL1,GEMIN4,0.07489824
CHMP2A,LEO1,0.0833143
MED24,MINOS1,0.08714765
EIF6,HUS1,0.092258096
TRA2B,XRN2,0.1017195
BNIP1,MED23,0.106870234
CENPW,SKA3,0.11327112
EIF3H,EXOSC2,0.11522168
CDK1,MINOS1,0.13521075
GEMIN4,GTF2H4,0.13810933
CDC27,CENPW,0.14192748
DHODH,HUS1,0.14690846
KDM1A,NDUFA9,0.15620935
MED1,MED9,0.15871054
CTNNBL1,SDHC,0.16075522
COPS4,SMC5,0.16944337
MRPL13,MRPS35,0.17039561
ANKZF1,MRPL43,0.1706959
RFC4,RPL28,0.173322
NUP54,PTCD3,0.18081973
BUB3,SPAG7,0.18375571
PRIM2,UBA2,0.19204944
CHMP2A,RPL28,0.19262253
ARL2,RPL11,0.19570339
BUB3,RAD51,0.19687063
MRPS21,SEH1L,0.21056682
ASNA1,NIP7,0.21612096
COPS4,EIF2B5,0.21693216
FAM50A,NIP7,0.21918085
TCF25,TUBGCP5,0.221485
EIF6,GNL3L,0.22424108
RPS18,ZNRD1,0.2253113
ELP4,GNPAT,0.23656748
SPDL1,TRA2B,0.24086273
MRPL32,NUP85,0.24260457
PPIE,PTCD3,0.24327187
GNPAT,RPL35,0.24493048
CWC22,MZT1,0.2450509
MED1,NUBP1,0.24829555
FAM50A,FBXO28,0.25063473
PRIM2,YTHDC1,0.25089768
MED23,MINOS1-NBL1,0.25279075
AATF,PPCS,0.25683966
FAM208A,MCM4,0.25841343
MRPS35,NSMCE1,0.2622287
EIF4A1,RPL10,0.26790437
MRPL32,TAF1,0.2683042
RBBP8,UBA2,0.26968998
ASCC3,NAT10,0.27635786
CDC40,SSBP1,0.27677432
NOLC1,TIMM22,0.27809587
ATP1A1,CDK1,0.2796957
MRPS30,NACA,0.2821616
MCM3,PITRM1,0.28544465
DDX46,FIP1L1,0.2868639
DUT,RPS28,0.2889929
LIAS,PSMD4,0.29013208
NUBP1,PPAT,0.29046687
DICER1,RFC4,0.29321605
NOLC1,ZNF598,0.29846695
CDK12,EXOSC2,0.3002919
INTS3,PSMB7,0.3005766
CCNK,MED28,0.30402514
COPS4,NUDC,0.3046475
MARS2,MFAP1,0.3059971
GTF3C3,Ltn1,0.31325328
MBTPS2,TOMM22,0.31410927
MED1,MED24,0.3245768
RPS27A,SMC5,0.3425393
EIF3H,EXOSC6,0.3519981
POLE,SDHC,0.35597536
AARS2,PET112,0.36210206
DNTTIP2,PPP2R1A,0.36781597
LEO1,NAMPT,0.40037102
DDX18,DHODH,0.47429922
MED23,MTBP,0.48167217
C14orf2,TRNAU1AP,0.49898016
RPL10,XRN2,0.518653
CENPM,PET112,0.5688188
MRPL42,PGK1,0.59761715
FAM50A,RPL30,0.61327624
AURKA,SNRPB,0.61431277
CWC22,FAM50A,0.6200114
METAP2,RPL36A,0.6210307
MED1,PSMD4,0.6321869
ARIH1,RPL10,0.635924
PSMD4,SNAPC1,0.6482194
MED24,MRPL36,0.6520848
EIF3H,EIF4G2,0.6593385
PSMD4,SSBP1,0.66359544
ARIH1,TIPIN,0.6652181
MED24,MRPL24,0.67180634
CEP192,SEH1L,0.67562807
CCNK,CHMP2A,0.67730224
MED24,SEH1L,0.67874014
EIF6,Ltn1,0.67948675
GEMIN4,SNRPD3,0.68305826
CCDC84,RBM17,0.6874379
CDK12,CHMP2A,0.6898251
GFER,MRPL33,0.6938124
ASCC3,RPLP1,0.7067654
NCAPD2,USE1,0.71026385
MRPL27,PITRM1,0.7561152
ACTR10,TCOF1,0.793159
DUT,GEMIN2,0.8048409
CENPM,CEP192,0.80569345
GTPBP4,RPP30,0.8287071
ACTR10,EIF4G1,0.8421543
MINOS1,TUBGCP3,0.8649422
MRPS9,WDR61,0.8848166
CENPK,XRN2,0.92768776
