Gene1,Gene2,Error
PDRG1,RPP30,0.0017363704
EEF1G,EXOSC6,0.0024050556
EEF1G,TGIF2,0.0035042544
PDRG1,SLC7A6OS,0.0042895786
MRPS18A,MRPS9,0.0048821056
MARS2,MRPL18,0.005110778
NACA,NFE2L1,0.008325375
DDX18,MRPS16,0.008925595
CDC27,RPP30,0.009301001
RNF20,RPL35,0.009311538
EBNA1BP2,MED24,0.010273609
MRPL43,NOL10,0.010718495
MRPL39,NOL10,0.011107228
C9orf114,RPLP2,0.011541812
MED28,NACA,0.011790015
NAT10,RPTOR,0.013555318
KARS,KIF11,0.013652538
EBNA1BP2,POLD3,0.015775979
BUB3,CLSPN,0.01616203
PPCS,PTCD3,0.016191268
HCCS,MRPL42,0.017887667
MARS2,PPCS,0.017936226
ANKZF1,CEP152,0.018335963
DDX18,NCAPD2,0.018344557
KIF11,MED9,0.018716214
DLST,GNL2,0.018781224
CDC73,SSB,0.01943368
AARS2,MCM4,0.019815542
GNL2,RINT1,0.02329464
COPS4,NSMCE4A,0.023467936
CLSPN,SNRPC,0.024877638
CARS2,NSMCE4A,0.024957072
CDC40,MRPL46,0.025121685
HYPK,RAD51,0.025247987
MRPS21,NAMPT,0.025299605
LEO1,WDR61,0.02682519
EEF1G,SGOL1,0.027439095
LARS,RFC4,0.027889544
NFE2L1,TFB1M,0.029562851
FDPS,HCCS,0.029937334
AATF,MINOS1,0.030497713
RPL35,RPTOR,0.0312913
MTHFD2,TRRAP,0.03187921
EIF4G1,EIF6,0.03299509
MRPS28,NCBP1,0.032999337
MAT2A,NOL9,0.033712063
NAT10,UQCRB,0.03477606
FBXO28,SRP19,0.03529836
CIRH1A,GNL2,0.035333976
LARS2,MRPL27,0.03587019
LEO1,VPS72,0.036367834
NUBP1,WDR36,0.037783563
NFYC,NOL9,0.03838745
PTCD3,TRA2B,0.04091888
SFXN1,UBA3,0.04095767
NSMCE4A,ZNHIT6,0.04205394
CARS2,MRPS9,0.043759093
LEO1,PSMD1,0.044305146
NDUFA2,ZNRD1,0.044541705
EIF5B,NOL8,0.04594396
COX7C,NSMCE1,0.04633088
EFR3A,POLR2K,0.04659898
RRM1,SPATA5,0.04803085
PPAT,TRPM7,0.048746917
CEP192,RPS28,0.049297616
NDUFB1,TUBGCP5,0.049314134
MBTPS2,NUDC,0.052037835
NOC2L,RPL24,0.05264963
NIP7,SLC7A1,0.05269482
PMVK,TBCB,0.053343534
LEO1,NDUFB1,0.054069817
DHX37,POLR3B,0.05429247
MRPL18,PRIM2,0.054707035
DNTTIP2,NCBP1,0.055350896
HUS1,WDR61,0.05570984
NAA25,NDUFB1,0.05582029
KCTD10,PPP2R1A,0.056136012
ACTR10,PDRG1,0.05626786
CENPM,MBTPS2,0.056340933
RBFA,RPL27,0.057212465
MRPS25,TOMM22,0.05807398
MRPL19,SLC7A6OS,0.058713302
CCDC84,EFR3A,0.05881164
WDR61,WDR7,0.059622347
CARS,SNAPC1,0.061584797
PELO,RPL36A,0.062523544
PAFAH1B1,ZNF574,0.06488949
LEO1,SDHC,0.065039456
ARL2,KIAA1731,0.06672144
LEO1,PNN,0.06765294
MRPS23,SRSF7,0.06779074
GFI1B,PELO,0.06823152
MAT2A,RPS28,0.06842337
EIF4G1,MRPL15,0.06938532
DCTN4,POLR2K,0.069735825
RBBP8,TRMT5,0.069909476
PPP2R1A,SNRPG,0.06991601
CDC26,SNRPD3,0.0706077
PELO,PSMD1,0.07080048
BTF3,LARS2,0.07119563
LEO1,RTF1,0.07142246
KIAA1731,PAFAH1B1,0.07165676
SNIP1,ZNRD1,0.07309138
CENPK,WDR61,0.0732277
PPP2R1A,UBA3,0.07353735
ANAPC13,PPP2R1A,0.07418764
COG3,RPS28,0.07465259
DHX37,TSEN2,0.075711474
FDPS,PPP2R1A,0.07739711
COPS5,PPP2R1A,0.07826877
BDP1,NDUFA8,0.07931568
COX5A,TGIF2,0.082394816
MRPL43,MRPS18B,0.082629025
PPP2R1A,TAF2,0.08279085
BOD1L1,ZMAT2,0.08353557
ANKZF1,ARL2,0.08389585
COX7C,SSB,0.08407954
REXO2,SNAPC1,0.08498554
KDM1A,LEO1,0.08717948
ANKZF1,RPL36A,0.08737004
RPL8,TIMM9,0.087490015
MED23,TIMELESS,0.08792722
KIF14,PPP2R1A,0.0880667
ATP5A1,DHX37,0.09067211
LEO1,MAX,0.09161258
EIF3H,SKA3,0.09175736
COX7C,NCAPD2,0.09248504
SEC22B,WDR61,0.092514694
NAA50,TIMELESS,0.0929814
GNL3L,KIAA1731,0.09366453
PELO,UBA3,0.09367657
DNA2,NOC2L,0.09554856
CDC27,PPCS,0.09662593
CENPK,VPS72,0.09760511
NAT10,SKIV2L,0.098129086
SLC35A1,TAF1A,0.09845124
CDK1,LEO1,0.0987733
LEO1,PSMC6,0.098977685
GPN3,LEO1,0.09992325
CIRH1A,XRN2,0.10068309
KIAA1731,SEC22B,0.100813985
PPP2R1A,PSMD6,0.101053834
MRPL50,PPAT,0.10125823
MRPL27,POLD1,0.10129808
NUP85,PPP2R1A,0.10325706
PAFAH1B1,RPL36A,0.10426885
BUB3,PHF5A,0.1043051
LEO1,NAT10,0.10432929
RAD51,RPL27,0.104767606
PELO,PNN,0.10514355
HUS1,TRA2B,0.10570139
CHMP2A,PELO,0.10588074
CCT8,SNRPC,0.10718985
MRPS28,POLR3B,0.10815358
SKIV2L2,TAF1,0.10824319
ANAPC13,MBTPS2,0.11233014
ACTR10,SMC5,0.11346037
LARS,LEO1,0.114029944
ERH,ZNF574,0.11450213
KARS,LEO1,0.11471766
GTPBP4,TRA2B,0.115241505
POLD1,USE1,0.11691597
NUP54,WDR61,0.117161095
CAPZB,IARS,0.11724191
COQ2,NFE2L1,0.11897876
C6orf203,CNOT1,0.11935278
KIF14,PELO,0.119615436
DHX37,VPS29,0.1201328
MRPS21,TSEN2,0.120630525
MRPL39,PSMB7,0.12100111
FAM98B,HSCB,0.12197975
AURKA,TCOF1,0.12528098
MZT1,NAT10,0.12730807
HUS1,SDHC,0.12757999
SAP18,SKA3,0.12882978
PELO,RPLP1,0.12962824
CHMP2A,NUDC,0.13033903
NDUFB1,PGK1,0.13051414
LEO1,PSMB7,0.1306715
DLST,MED28,0.13113879
ARIH1,ZNF574,0.13139838
FAM98B,MED24,0.13322009
CKAP5,NUDC,0.13359535
HUS1,METAP2,0.13361275
MARS,PPP2R1A,0.13491589
PELO,POLN,0.13540006
KCTD10,MRPS5,0.13546121
COX16,RPF2,0.13570103
NUDC,NUP43,0.1370306
TRMT5,ZMAT5,0.137463
GNL2,ZNF830,0.1386194
ATP5F1,SNRPC,0.14038685
NOLC1,XRN2,0.14043671
NUP54,TIMELESS,0.14106143
BUB3,COPS2,0.14137438
INTS3,XRN2,0.1417324
CENPM,MFAP1,0.14350808
SSB,TIMELESS,0.14641619
NUP43,TIMELESS,0.14752048
MED23,NDUFB2,0.14935976
SCO1,SNRPB,0.15279862
ARL2,CDC23,0.1530816
MRPS35,TOMM22,0.15369654
PAFAH1B1,RPL28,0.15377367
ADAT2,SEC22B,0.15697585
EMC1,MBTPS2,0.1570729
LEO1,SLC7A6OS,0.15883148
MED14,PSMD1,0.15910286
PNISR,POLN,0.16021074
ACTR10,EIF3M,0.16037405
CDK1,PELO,0.16160017
SKA3,TAZ,0.16203165
RPF2,SRFBP1,0.16315645
COG3,NUDC,0.16319549
LEO1,NAMPT,0.16369146
MRPS5,MTOR,0.16410196
INTS5,NCAPD2,0.16475183
PMPCB,RBM17,0.16505665
ATP6V1G1,WDR7,0.16586858
SCYL1,VPS4A,0.16629332
ARL2,CEP63,0.16667855
INTS5,SNRPD3,0.16788846
CENPK,COPS5,0.1680606
CARS,XRN2,0.16949254
MRP63,PHF5A,0.17157328
MRPL22,PSMD12,0.1730572
NUP43,ZNRD1,0.17498006
MRPS35,NDUFA9,0.1752488
AURKA,UBA2,0.17584151
GINS4,MED23,0.17649192
MED23,VPS29,0.17720592
ATP5J2,FAM50A,0.17757915
GTF2H1,RPL27,0.17759882
ASNA1,RFC5,0.178459
COPS4,INTS5,0.1796856
EIF3C,PSMD1,0.18011439
CACTIN,TIMELESS,0.18073279
MRPS5,TAF2,0.18100613
INTS5,SLC39A9,0.18218702
CENPM,TAF2,0.18406564
CCNK,EXOSC9,0.18420483
RRM1,STXBP4,0.18524443
PPCS,TCOF1,0.18631089
IMPDH2,PAXBP1,0.18652396
GTF2H4,RBM22,0.18654628
CACTIN,HUS1,0.18698603
CEP63,NAA50,0.18786484
ATP5F1,MAX,0.18815346
CKAP5,MPHOSPH6,0.18833941
FAM98B,MAX,0.18928051
EIF3H,SNRPD3,0.18989807
DCAF7,DDX46,0.19003963
CSTF3,EIF3D,0.19075708
ANAPC13,SGOL1,0.19273186
TOMM22,TRNAU1AP,0.19347785
CENPW,SGOL1,0.19429779
TAF2,UBA2,0.19657516
CDCA8,UBA2,0.19721413
MRPS5,VPS29,0.19724381
MED23,PPCS,0.19832033
ARL2,ZMAT5,0.19893056
QARS,WDR61,0.19927347
SKA3,SRSF7,0.2019751
MRPL22,PSMD6,0.20314765
CEP63,SGOL1,0.20433444
PPIE,ZNF511,0.20522238
DCAF7,ZNF574,0.20542306
PSMD1,XPO1,0.20586216
NUP54,SGOL1,0.20687073
KIAA1731,LUC7L3,0.20720667
ANAPC13,TIPIN,0.20855427
PPWD1,RAD51,0.20925784
NEMF,PAFAH1B1,0.2108742
MRPL33,PGK1,0.21210968
NDUFB1,TAZ,0.21318185
FIP1L1,TIPIN,0.21331161
MFAP1,PITRM1,0.21384448
MRPL22,SRP19,0.21508616
GFI1B,MRPL36,0.2153821
BOD1L1,CENPM,0.21565884
POLR2K,SYVN1,0.21599473
CARS2,PGK1,0.21607965
IARS,USMG5,0.21609737
MRPL22,PSMC1,0.21754557
POLN,QARS,0.21789987
EMC1,MED23,0.21801513
PHF5A,ZCCHC9,0.2197691
ARL2,RPLP1,0.22259635
DYNC1H1,MRPL42,0.2241245
ARL2,RPL23,0.22489917
BOD1L1,SCYL1,0.2276417
RPL27,TCOF1,0.22772413
GTF2H4,MINOS1-NBL1,0.2282241
DYNC1H1,RPL24,0.22862619
CIT,MFAP1,0.22922117
EIF6,XRN2,0.2292437
KCTD10,MRPL36,0.23352957
PWP1,TCOF1,0.23505211
NUP43,TRA2B,0.23509729
MRPS30,PDCD7,0.23520109
HUS1,POLE2,0.2354669
KIAA1731,PWP1,0.23599923
ATXN10,NOL8,0.23621221
RPL36A,SRSF7,0.23684406
MCM3,PDCD7,0.238954
PAXBP1,PWP1,0.2395489
C9orf114,EMG1,0.2401661
HUS1,MCM4,0.24027658
KCTD10,MRPS21,0.24114555
ANAPC13,GNL3L,0.24144977
RBM25,UBA3,0.24223974
RPL28,ZNF830,0.24232066
EIF3H,NOC2L,0.24354774
COG3,SCYL1,0.24442148
EMC4,MED23,0.24506402
DCAF7,TIMELESS,0.2476067
NFYC,POLR2B,0.24779868
GNL3L,METTL17,0.24856097
CAPZB,GTF2H1,0.24869932
EIF4G1,MRPL22,0.24881911
BTF3,MCM4,0.25062916
COPE,LUC7L3,0.2507793
LIAS,TCOF1,0.25084817
CENPK,PPWD1,0.2508536
MRPL10,PGK1,0.25218946
MRPL24,TIMELESS,0.25276715
COA3,FAM208A,0.25332105
EIF3H,RPL13,0.2550534
MINOS1-NBL1,VPS29,0.25581223
CCNK,MED23,0.25657618
NAA50,PMVK,0.257008
GFI1B,RRM1,0.25723517
PRIM2,UBA2,0.2597903
FAM98B,INTS5,0.26013535
INTS3,MTERFD1,0.26236114
ATP5J2,CMAS,0.26236486
COPE,SCYL1,0.2634681
DONSON,GNL3L,0.26409757
PTTG1,RPL32,0.2661512
RBM17,TIMELESS,0.2683956
ATP6AP1,MRPS28,0.26883495
MASTL,TCOF1,0.26895016
TIMELESS,WDR77,0.27074826
POLA1,RPL36A,0.2709899
GINS4,NUP54,0.2717567
TAZ,TIMM23B,0.27202982
NDUFA8,PSMC1,0.27460027
STXBP4,TIMELESS,0.27633506
FAM208A,NOP58,0.2779994
GINS4,METAP2,0.2787832
ATP5F1,EMC2,0.27930552
ARL2,CEP192,0.27933645
AFG3L2,NDUFA8,0.2798735
HUS1,RAD51,0.2799855
PSMD4,SSBP1,0.2807244
CEP63,MASTL,0.28199103
MBTPS2,RPL30,0.28301108
CEP192,GNL3L,0.2834196
NOL8,USMG5,0.28368932
ATXN10,RNGTT,0.28443062
GFI1B,SNRPB,0.28559595
INTS5,MASTL,0.28649694
EXOSC6,MRPL22,0.28681564
NEMF,PSMD4,0.28693354
SSBP1,TAZ,0.28857303
COX16,LIAS,0.28936815
PSMD6,TAF2,0.29017478
BUB3,CENPM,0.29113895
MED14,USE1,0.2911474
FIP1L1,GOLT1B,0.29315674
ATP1A1,MRPS11,0.2941013
MRPL36,TAZ,0.29468018
MED23,POLD1,0.29474986
POLE2,UBA2,0.29532284
HUS1,POLD1,0.29735124
NFYC,NUP54,0.29818285
SRSF7,YTHDC1,0.29841882
MZT1,SSB,0.29931498
EXOSC2,RPL35,0.3003199
EMC2,FDPS,0.3004949
PDSS2,RINT1,0.30332792
NDUFA8,PSMC6,0.30419654
MRPL50,TIMELESS,0.30519724
FAM50A,PET112,0.3057264
RPL36A,SLC7A1,0.30610633
ROMO1,TAZ,0.30649436
NOP58,SKIV2L,0.3065037
MTOR,NDUFA9,0.31046224
CMAS,VPS29,0.3125661
BOD1L1,MCM3AP,0.31286132
CAMLG,FIP1L1,0.3141684
EMC6,FDPS,0.3155769
AURKA,TAF1A,0.31833777
CDC73,LEO1,0.31891018
COX6C,MTBP,0.31920165
CEP152,COPE,0.32001618
BTF3,CMAS,0.32039005
CKAP5,METAP2,0.32180148
GTF2H4,MRPS10,0.32285398
MFAP1,TBC1D31,0.3235687
AURKA,EMC1,0.32404923
CTNNBL1,MRPS14,0.32582247
GTF2H4,RNGTT,0.32679617
BNIP1,SSB,0.3270144
NUTF2,ZNF598,0.3287062
NCBP1,ZNF574,0.32956755
KIF14,SRSF7,0.33026308
ATP5A1,PRIM2,0.33219424
GTF2E1,NDUFB4,0.33296764
LIAS,ZWINT,0.3362829
SEH1L,VPS29,0.33846295
EMC7,FDPS,0.34021348
CAMLG,KIF14,0.34262258
DONSON,TRA2B,0.34329343
Ltn1,POLE,0.34345365
NSMCE1,PMPCB,0.34597197
NUP85,TRA2B,0.34645486
CCDC84,ZMAT5,0.34740835
SGOL1,TBC1D31,0.34957486
FDPS,RRM1,0.3509084
MRPS10,PMPCB,0.35155728
BUB3,NUTF2,0.35162023
EMC1,FDPS,0.35249645
OPA1,TIMM23B,0.35349452
ROMO1,SSBP1,0.35528696
ATXN10,REXO2,0.35671312
CDCA8,DLST,0.3576708
ASCC3,SRP19,0.35922015
CDK12,MED1,0.362468
COX6C,TTI2,0.36379462
INTS3,SSB,0.36638832
EIF4G1,MFAP1,0.37020612
ABCB7,TAF2,0.3733974
MED17,NEMF,0.37397343
BTF3,DLST,0.37515646
PAXBP1,RPL24,0.37609488
DYNC1H1,NFYC,0.38094196
CYB5B,OPA1,0.38841158
MFAP1,SF3B1,0.39075053
CAPZB,TAF2,0.39189774
ATP6AP1,EMC7,0.39192373
ATP6AP1,MRPS21,0.39753994
PFAS,UMPS,0.39988437
OPA1,POLE,0.4035622
CDC26,TCOF1,0.40538698
COX7C,PGK1,0.4056428
